REGION_ID,FOREST_ID,PROJECT.NUMBER,PROJECT.NAME,PROJECT.STATUS,PROJECT.CREATED,INITIATION.DATE,DECISION.SIGNED,DECISION.TYPE,ELAPSED.DAYS,DECISION_LEVEL,ongoing,EVENT
0,0,33499,Nationwide Aerial Application of Fire Retardant on National Forest System Lands.,Complete,2010-08-27,2010-08-27,2011-12-13,ROD,473,Region/HQ,0,1
0,0,30641,Land Management Planning Rule,Complete,2009-11-16,2009-12-18,2012-03-23,ROD,826,Region/HQ,0,1
1,102,55932,Wall Creek Fish Passage Barrier Project,Complete,2019-04-24,2019-04-24,2020-11-30,DM,586,Ranger District/Mgt Unit,0,1
1,102,44450,Villa &amp; Jesse Private Road Special Use Permit,Complete,2014-05-13,2014-02-26,2014-04-22,DM,55,Ranger District/Mgt Unit,0,1
1,102,33514,Rocky Canyon Collection Tray and Pipeline,Complete,2010-08-31,2010-09-03,2011-06-17,DM,287,Ranger District/Mgt Unit,0,1
1,102,57069,Kennecott Phase 3 Exploration project,Complete,2019-10-23,2019-10-02,2020-03-30,DN,180,National Forest/Grassland,0,1
1,102,49513,Moss Water Transmission Line,Complete,2016-05-24,2016-04-29,2016-07-07,DM,69,Ranger District/Mgt Unit,0,1
1,102,48006,Master SUP Amendments to bury power & phone lines under Stony Creek Road.,Complete,2015-10-26,2015-10-26,2016-06-08,DM,226,National Forest/Grassland,0,1
1,102,47722,Supplemental EIS - BDNF Land & Resource Management Plan to comply with District of Mont Court Order,Complete,2015-09-14,2015-09-11,2016-10-11,ROD,396,National Forest/Grassland,0,1
1,102,58659,Stony Creek Allotment Fence and Cornish Gulch Livestock Handling Facility,Complete,2020-08-13,2020-08-13,2020-11-10,DM,89,Ranger District/Mgt Unit,0,1
1,102,55937,Selway Creek Fish Barrier,Complete,2019-07-10,2019-07-10,2019-08-14,DM,35,Ranger District/Mgt Unit,0,1
1,102,48000,Ramshorn Creek Reciprocal Trail Access,Complete,2015-10-23,2015-09-23,2016-02-29,DM,159,National Forest/Grassland,0,1
1,102,33415,Ross Fork/Bitterroot Divide Trails (Ross Fork II),Complete,2010-08-11,2009-02-09,2010-11-21,DM,650,Ranger District/Mgt Unit,0,1
1,102,42302,Forest Plan Temporary Roads,Complete,2014-09-11,2013-09-09,2014-09-12,ROD,368,National Forest/Grassland,0,1
1,102,29118,Lima Tendoy AMP Revisions,Complete,2009-06-22,2009-07-28,2011-10-16,DN,810,Ranger District/Mgt Unit,0,1
1,102,37978,North and West Big Hole Allotment Mangement Plans,Complete,2011-12-27,2012-08-17,2016-03-25,ROD,1316,Ranger District/Mgt Unit,0,1
1,102,30490,Dempsy Stockwater Pipeline,Complete,2009-09-30,2009-01-12,2009-08-03,DM,203,Ranger District/Mgt Unit,0,1
1,102,38318,Cargill Outfitting and Guide Priority Use Permit,Complete,2012-02-29,2012-02-23,2012-05-03,DM,70,Ranger District/Mgt Unit,0,1
1,102,51235,Tendoy Lake Dam Removal,Complete,2017-04-19,2017-04-19,2017-09-27,DM,161,National Forest/Grassland,0,1
1,102,51245,"McGraw-Mammoth, LLC, Small Tracts Act",Complete,2017-03-06,2017-02-02,2017-09-13,DM,223,National Forest/Grassland,0,1
1,102,33400,Goodrich Gulch Plan of Operation,Complete,2010-08-10,2014-01-06,2014-11-20,DN,318,Ranger District/Mgt Unit,0,1
1,102,34215,Cherry/Morgan and Buck's Nest Trail Reroute,Complete,2010-11-08,2010-12-16,2011-08-30,DM,257,Ranger District/Mgt Unit,0,1
1,102,34214,Baldwin Parks Trail Development & Reroute,Complete,2010-11-08,2010-12-16,2011-09-21,DM,279,Ranger District/Mgt Unit,0,1
1,102,41333,Continental Divide National Scenic Trail #4087 Our Lady - Cleveland Construction Project,Complete,2013-02-20,2013-02-19,2013-05-02,DM,72,Ranger District/Mgt Unit,0,1
1,102,50554,Smart Creek Mineral Exploration Project,Complete,2016-10-29,2016-10-28,2017-02-23,DM,118,Ranger District/Mgt Unit,0,1
1,102,39130,Bogus Basin Personal Use Post and Pole Area,Complete,2012-04-25,2010-12-16,2012-04-26,DM,497,Ranger District/Mgt Unit,0,1
1,102,60051,Rocky Road Special Use Permit,Complete,2021-05-06,2021-05-07,2021-08-11,DM,96,Ranger District/Mgt Unit,0,1
1,102,48001,Antelope Basin Storage Tank Project,Complete,2015-10-23,2015-09-23,2016-09-02,DM,345,Ranger District/Mgt Unit,0,1
1,102,34712,East Fork Blacktail Trail Reroute,Complete,2010-12-20,2010-12-16,2012-05-08,DM,509,Ranger District/Mgt Unit,0,1
1,102,50836,Ruby River Winter Habitat Improvement Project,Complete,2017-01-13,2017-01-13,2018-03-30,DM,441,National Forest/Grassland,0,1
1,102,40498,Last Chance Exploration Plan of Operation,Complete,2012-10-15,2012-10-10,2013-01-30,DM,112,Ranger District/Mgt Unit,0,1
1,102,50555,Echo Lake Cross Country Ski Area Parking and Trail Access,Complete,2016-10-29,2016-10-28,2016-11-14,DM,17,Ranger District/Mgt Unit,0,1
1,102,56257,Goldstone Fire Area Trails Repair and Relocation,Complete,2019-06-20,2019-06-20,2019-08-13,DM,54,Ranger District/Mgt Unit,0,1
1,102,43667,Pride #4 and #6 Placer Exploration Project,Complete,2014-02-06,2014-02-04,2014-07-08,DM,154,Ranger District/Mgt Unit,0,1
1,102,38323,Pole CanyonTrail #157 and Pyramid Trail #163 Construction and Maintenance,Complete,2012-02-29,2012-02-27,2012-05-14,DM,77,Ranger District/Mgt Unit,0,1
1,102,41681,Nut Pine Lode LLC Road Access,Complete,2013-03-22,2013-03-22,2014-11-07,DM,595,Ranger District/Mgt Unit,0,1
1,102,32433,Georgetown Lake Volunteer Fire Department Dry Hydrant Special Use Permit Reissuance,Complete,2010-03-31,2010-02-09,2010-03-26,DM,45,Ranger District/Mgt Unit,0,1
1,102,38976,Roadside Hazard Tree Removal #6,Complete,2012-04-09,2013-04-17,2013-11-22,DM,219,Ranger District/Mgt Unit,0,1
1,102,38324,"Rawhide Trail  #7073, Maintenance and Reconstruction",Complete,2012-02-29,2012-02-27,2013-01-25,DM,333,Ranger District/Mgt Unit,0,1
